lh_v1v_center,lh_v2v_center,lh_v3v_center,lh_hv4,lh_vo1,lh_vo2,lh_ph1,lh_ph2,afs_l,lh_lo1,lh_lo2,lh_to1,lh_v1d_centre,lh_v2d_centre,lh_v3d_centre,lh_v3a,lh_v3b,lh_ips0,lh_ips1,lh_ips2,lh_ips3,lh_ips4,lh_aIPS,rh_v1v_center,rh_v2v_center,rh_v3v_center,rh_hv4,rh_vo1,rh_vo2,rh_ph1,rh_ph2,afs_r,rh_lo1,rh_lo2,rh_to1,rh_v1d_centre,rh_v2d_centre,rh_v3d_centre,rh_v3a,rh_v3b,rh_ips0,rh_ips1,rh_ips2,rh_ips3,rh_ips4,rh_aIPS,Participant,Object_Type
0.1249676,0.161682,0.1255704,0.0895621,0.0428147,-0.00221339999999997,0.0283361,0.0350246,-0.0723293,-0.0435089999999999,-0.130882,-0.174163,0.2109231,0.2260035,0.0312426,-0.0410524,-0.0525687,-0.1254354,-0.1108998,-0.102959,-0.1343338,-0.1285847,-0.0329159,0.2592223,0.0782745,0.1550309,0.0720818,0.0228064999999999,0.00510590000000009,-0.00769359999999998,-0.0795877999999999,-0.037,-0.0347392,-0.1444218,-0.1926162,0.2994752,0.0975699999999999,0.0452993999999999,-0.087674,-0.0733119,-0.0886638999999999,-0.0784085999999999,-0.131992,-0.121398,-0.0986119999999999,-0.0810308,1,Novel
0.0266663000000001,0.0898435,-0.0434156000000001,-0.0357481999999998,-0.0625409999999999,-0.0973585999999998,-0.0902425999999999,-0.1383305,-0.2230315,-0.1510019,-0.2355581,-0.2855518,0.0449727000000001,-0.00557199999999991,-0.0871143,-0.17154,-0.1171879,-0.2292233,-0.242397,-0.2126637,-0.2005913,-0.1860573,-0.1617419,0.1521618,0.1421256,0.00708859999999992,-0.0183905999999999,-0.0331015,-0.0737433,-0.0736071000000001,-0.1140878,-0.227713,-0.1842032,-0.2338784,-0.2417003,0.1344704,0.0206369999999999,-0.0510637000000001,-0.0874446999999999,-0.1221804,-0.2233054,-0.239727,-0.2215338,-0.1898352,-0.2139846,-0.1762971,2,Novel
0.1194763,0.0641407999999999,0.00569810000000032,0.0111994,-0.0584194999999999,-0.1246899,-0.0331475,-0.0301526,-0.0432197,-0.0074188000000001,-0.228355,-0.1530466,0.0886932999999999,0.2051937,0.2943915,0.1009493,0.0400768999999999,-0.0680802,-0.0542806,-0.1190949,-0.0978412,-0.1167244,-0.0420664,0.0807018,0.0799556000000001,0.08881,0.0243720999999999,-0.0516429,-0.0683941999999999,-0.0727974,-0.0634890000000001,-0.0811482,-0.0607280999999999,-0.190096,-0.3077619,0.2069274,0.2521304,0.1295859,0.0538043,-0.1033062,-0.0666479999999998,-0.0678477,-0.1027327,-0.1154312,-0.114288,0.0629346,3,Novel
0.130289,0.1354428,0.0650782,0.0202625999999999,-0.0336925,-0.0304636,-0.0581956999999999,-0.0688311,-0.0942727,-0.1535295,-0.190195,-0.0885544,0.020576,0.0665558000000001,-0.0124807,-0.00250459999999997,-0.0462494,0.00293239999999998,-0.0293142,0.00696649999999996,0.0237828,-0.00213640000000006,-0.1139953,0.0260097999999999,0.1329464,0.1222093,0.0143724,-0.0487420999999998,-0.0024283,0.00602330000000002,-0.0170039,-0.0165715,-0.0547695999999999,-0.0735547,-0.0950334999999999,0.0124558,0.2072172,0.1288574,-0.0122554,-0.0516441,-0.0187016,0.00792169999999998,0.0394099,-0.00336880000000003,-0.028578,0.0202395,4,Novel
-0.00730070000000005,0.0340499000000001,0.0665635,0.0424717,-0.0533317999999999,-0.0703811999999999,-0.0511866,-0.078563,-0.0113659,-0.0479832999999999,-0.2646383,-0.3660216,0.03202,0.2354882,0.0713396,-0.1126485,-0.0871267,-0.0471891,-0.0340155,-0.0252927,-0.080898,-0.0946308,-0.0270698,0.0344133,-0.0370993,-0.0193967999999999,-0.0636235999999999,-0.0149585,-0.0841552,-0.038336,-0.0387799,-0.1032656,-0.1937942,-0.2599436,-0.1656466,0.1090881,0.1128015,0.0499434,-0.1899613,-0.2385118,-0.0860059999999999,-0.1025192,-0.0693096,-0.0934057999999999,-0.1063938,0.0231349,5,Novel
0.0101461000000001,-0.0182372,0.0716595999999999,-0.00197029999999987,-0.0912291999999999,-0.158051,-0.0497931,0.00225620000000005,-0.1105943,-0.0884724000000001,-0.0481277000000001,-0.0992211999999999,0.0320200999999999,0.1537914,0.1067702,0.1164082,-0.0386722,-0.00600059999999997,0.0549562,-0.0548306,-0.1048589,-0.1351073,-0.0742291,0.2530726,0.1423167,0.1805608,0.0543438999999999,-0.0450709,0.00840039999999998,0.0528741000000001,0.0478683999999999,0.0032093,-0.2095201,-0.1610482,-0.1466045,0.2209811,0.2448676,0.0727838999999999,0.0757075999999999,-0.0684582,-0.1710256,-0.213028,-0.1753492,-0.0520609,-0.035803,0.0959786,6,Novel
0.2525871,0.4126712,0.3168948,0.1994244,0.0383495999999999,0.0311609,-0.0641295000000001,-0.1265928,-0.1662519,-0.1663403,-0.2240864,-0.1976871,0.1369724,-0.00381030000000016,-0.0742365,-0.157393,-0.1754824,-0.1959477,-0.1160373,-0.1328899,-0.1298377,-0.1852252,-0.1401134,0.2102126,0.2655063,0.320962,0.1695653,0.00875980000000003,-0.1242167,-0.1275512,-0.0621048,-0.1952854,-0.1408435,-0.1342853,-0.1847544,0.2736996,0.1386263,0.0621379,-0.1437336,-0.1126325,-0.2778185,-0.1637952,-0.2239291,-0.1378707,-0.1130233,-0.1034862,7,Novel
0.1460539,0.1259536,0.00599459999999992,0.0118598,-0.0103389,-0.0649059999999999,-0.0965079999999999,-0.0973415999999999,-0.0785488999999999,-0.1382213,-0.1944899,-0.2849801,0.1700273,0.2074875,-0.063317,-0.0194483,-0.1321701,-0.2101089,-0.2392383,-0.0998189999999999,-0.150718,-0.1042182,-0.0334708,0.00672670000000002,0.0609562,0.0924485,0.0594596,-0.00094689999999976,-0.0379163,-0.0642637999999999,-0.1051633,-0.0852626999999999,-0.0747162999999998,-0.1978129,-0.3022531,-0.0368053,-0.0228180999999999,0.0442781999999999,0.0859897999999999,-0.1032373,-0.1704612,-0.1396283,-0.1077018,-0.1370255,-0.1870383,0.0048563,8,Novel
0.1879851,0.2112651,0.026967,0.0111699,-0.0222214,-0.0713892999999999,-0.053647,0.0081362,-0.1116575,0.00241090000000001,-0.1604919,-0.1908445,0.1655467,0.2363444,0.2059618,-0.0389571,-0.0704012999999999,-0.1224494,-0.0644552999999999,0.0118255,-0.0367948,-0.0430037,-0.0857217999999999,0.1796319,0.1266269,0.1189111,0.0552333,-0.0150020000000001,-0.0241137999999999,-0.0581017999999999,-0.0481554,-0.1265343,-0.0856074999999999,-0.196831,-0.2125452,0.1575904,0.2121046,0.1336279,-0.0504731999999999,-0.0978255999999999,-0.0806681,-0.0741240999999999,-0.0736849999999999,-0.0518943999999999,-0.0867007,-0.0462784,9,Novel
0.0217429,0.1400803,0.0013280000000001,0.0186508000000002,-0.00640080000000007,-0.0677694,0.00657249999999999,-0.0196381,-0.0808889,-0.0641654,-0.2215361,-0.2043144,-0.0400704,0.0565832999999999,-0.0145155,-0.0508774999999999,-0.0330005,-0.0452277999999999,0.0150679,-0.0164555,-0.0140273,-0.0234727,-0.1089713,0.1768466,0.1690568,0.0690330999999998,0.00265219999999985,-0.0162136999999999,-0.00971789999999998,-0.00369779999999995,-0.0402867,-0.0910086,-0.1203666,-0.1717803,-0.1727928,0.1222129,0.104687,0.0245327,-0.0309567,-0.0737253999999999,-0.0592310999999999,-0.103213,-0.0720224999999999,-0.1362266,-0.1434212,-0.0269689,10,Novel
